Описание,Номер
DC60 Rear cover w/o conn. Hole; LED pipe for Analog DC60,2216701A
"5/8"" Rotor Assembly SS-303 used in DC25,H25, HT-20C singleturn,1-speed, J-type",21129500A
"1/4"" Multiturn Rotor for NR60 Encoders with flat",21141300A
"Resolver sie 11 /w seal 2,5KHz 0,5 TR 0,12"" shaft +/- 7 min 12"" side lead",575-01921-704
"Res. Size 11, 1.75 TR 400Hz, control transformer w/18"" leads",575-01922-4
HT-20 (K+L) Resolver Mod Dwg Shaft length .275,211162000
DC-25 Rear Cover Blank,21111200F
SSI Multiturn Cover For DC25FS,21129000B
DC25 & H25 10mm shaft 303 SS new version,211279000
"Transducer, 10 mm Shaft,Flange mount, side connector",H25-FS-10
DC25-FE .50 TR/ 250Hz Ctrl. Transformer. Body only,575-91029
"1/2"" Hub rotor multiturn New collar-style shaft",211423000
"DC25 3/8"" SHAFT WITH FLAT & HOLE",211426000
"DC25 & H25 1/4"" shaft 2007 version",21118100D
"Size 25 resolver 3/8 shaft 0,95 TR @ 5000Hz end mount w/ to pin conn.",H25-FE-R3N
"DC25 housing 4 Speed Side Conn. 3/8"" shaft ",DC25-4FS(18)
NR25 Prodibus Singleturn Rear Cover,211406000
Size25 Transformer Shell Part 1 with slot for wires Machined Powder metal,575-95003
Size25 Transformer Shell Part 2 with slot for wires Machined Powder metal,575-95004
Resolver Stator Assembly 1-speed for HT-20C/THE/H25/DC25/NR25,575-95001
"H25&DC25 Shaft 3/8"" Dia. for old flange 22133200A",097-90001
H25 + DC25 Shaft 10mm Dia. old version,097-90002
"H25  Shaft 3/8"" Dia. w/ 3mm key Shaft",097-90004
HMT-425M Shaft Print A1088 ,21108800A
HTT-425A-100 Shaft ,21108802B
5/8 S.S. Shaft W .115 End ,21110701D
DC-25 Rear Cover (size 14) See Note,21111201F
DC-25 Rear Cover (Size 16) ,21111203G
DC-25 Rear Cover for  Side Connect AB Xducer(R types),21111204J
"DC-25 Rear Cover for  SSI rear connector mount, M23",21111205K
Transformer DC25\DC425 6 Pin ,211136000
5/8 Shaft w/ Key Slot ,21114202B
"SHAFT MOD. FOR 1/4"" H20 SEAL ON DC25 & H25 SHAFT",21118100B
H25-HMXXE-HFL REAR COVER ,21119801C
Transformer SMT6 Pin Carrier 80/200uH (Choke),211223000
SHAFT MOD. FOR 10mm H20 SEAL ON DC25 & H25 SHAFT,211259000
DC25 Rear Cover Switch Mod ,211267000
"DC25 & H25 3/8"" SHAFT TR=0.95",21127800A
"H25 3/8"" SHAFT TR = 0.5",21127801A
DC25 & H25 10 mm SHAFT 316 SS,21127901A
"DC25 & H25 3/8"" SHAFT WITH 7/16"" ADDED TO LENGTH",21128000A
"DC25 & H25 3/8"" SHAFT with 3mm KEY WAY",211281000
H25-F1E & MIE SHAFT ,21128100A
Multiturn 10mm SHAFT for DC25,211283000
SSI MULTITURN COVER FOR DC25FS,21129000A
SSI MULTITURN COVER FOR DC25SE,21129100A
SSI MULTITURN SPACER ,211292000
"IP67 DC11 Rear Cover Length=24.4mm, Hole Dia=12mm",211294010
"IP67 Size11 Rear Cover L=12.0mm, Hole Dia=15.3mm",21129405A
"ME15 1/4"" SHAFT For Magnetic Encoder",21129601B
"ME15 1/4"" SHAFT For Magnetic Encoder",21129601C
ME15  6mm SHAFT For Magnetic Encoder,21129602B
ME15  6mm SHAFT For Magnetic Encoder,21129602C
ME15 REAR COVER CONNECTOR VERSION,21129700B
ME15 REAR COVER CABLE VERSION,21129800B
,21130002D
Aluminum Flange for DC25 Blind Hole Resolver,21130002C
SSI MULTITURN COVER FOR MS-18 CONN.,21131600C
,211330000
DC25 SSI MULTITURN COVER WITH RESET BUTTON,21132800A
DC25 SSI MULTITURN COVER WITH RESET BUTTON,21132800B
,211383000
,211400000
"5/8"" HTE Rotor Assembly 1-speed",211330010
"5/8"" HTE Rotor Assembly 1-speed",21133001A
"5/8"" HTE Rotor Assembly 4-speed",211330020
"5/8"" HTE Rotor Assembly 4-speed",21133002A
"1/2"" Blind Hole Rotor size25 Made in Bulgaria, SS-316",211334000
12mm Blind Hole Rotor Assy SS-316     Made in BG,211334020
"1/2"" Blind Rotor Multiturn Made in Bulgaria, SS-316",211335000
NR25 Side conn. rear cover Must be sent for silkscreen,21134201C
"12mm Blind Rotor Multiturn Made in Bulgaria, SS-316",211346000
"5/8"" Rotor, Multiturn Stainless Steel 316",211347020
Multiturn Brass Standoff for stainless steel body.,211348010
"3/4"" Rotor SS-303 for H25/DC25",211349000
"ME11 SHAFT 0.25"" with flat",211350000
Size11 rear cover with side grommet hole,211353000
Size11 rear cover with side hole potted,21135700A
DC25 & H25 10mm MULTITURN SHAFT,211361000
"DC25 & H25 1/4"" MULTITURN SHAFT",211362000
"DC25 & H25  3/8"" MULTITURN SHAFT",211363000
NR25 Ethernet rear cover Singleturn; Side conn.,21137201A
,211323000
Flange Plate for Aux. Nose ,22108201E
Transducer Flange Slv.H25M1 ,22113300B
M1 Flange Plate (H25-M1) ,221134000
H25/DC25 Aux. Nose with 8-32 tapped mounting,22124500F
H25/DC25 Aux. Nose with 6-32 tapped mounting,22124501F
H25/DC25 Flange Nose Aluminum,22126700L
DC-25 Flange Nose W/ 1/4-20 TAPPED MOUNTING,22126701M
H25 & DC25 Shft Mod. for 3mm Key Way- NEW SHAFT STYLE,22130000B
DC25 Flange For H20 Seal used in 575-92014,22133200A
DC25 Servo Nose For H20 Seal DO NOT RE-ORDER,221344000
ME15 ENCODER HOUSING BODY Made by AMCI-AD,22139300C
H25 w/ zeroed shaft for HT-400x-L singleturn,22140701A
H25 special for HT-400-M1C-J with connector,22140703A
ME15 Blind hole enclosure body Aluminum 6061-T6,22142900A
ME15 Blind hole enclosure body  Aluminum 6061-T6,22142900B
NR25  Profibus r. cover Three side connectors,221436000
SD17063 Transformer ,22903700A
"MS-16 Conn W/ 4.5 "" ",229157010
"MSD-10 Conn W/ 4.5 "" wires ",229158010
"MSD-10 Conn W/ 4.5 "" WIRES & DIODE",229158050
Ethernet Processor ,414-92000
Transformer Input 42700 Sine/Cosine,551-90001
Transformer Output 1:1 3275 Reference,551-90003
Xformer Power Supply - Cards ,551-90004
"Transmitt., 10KHz, TR=0.5 0.12"" shaft, 7min, 7Vrms",575-01900-704
"Transmitt. 26V,TR=1.0, 400Hz .12"" shaft w/ length=0.375""",575-01901-7B2
Resolver Size 11 (3.5-5min) Transmitter 5KHz TR-0.95,575-01902-1
Resolver Size 11 Tested(1-3) Trasmitter 5KHz TR-0.95,575-01902-10
Resolver Size 11 Tested 1.5' Trasmitter 5KHz TR-0.95,575-01902-100
Resolver Size 11 Ameritek .95 TR Control Transmitter,575-01902-11
"Size11, J type, +/-3min 0.12'' shaft with flat",575-01902-310-1
Reslover Size 11 (5.5-8.0) Brushless,575-01902-4
"0.12"" shaft w/seal 5KHz, 7min acc, 0.95TR",575-01902-701
R11X-J10/7 resolver with front mounting holes,575-01902-702
R11X-J10/7 resolver with side wires,575-01902-704
Resolver Size 11 Ameritek R11X-J10/7 w/ flat on shaft,575-01902-710
"3/16"" shaft w/seal 5KHz, 7min acc, 0.95TR",575-01902-721
"Size11 Transmitter; 7min acc 5KHz, TR=0.95, 0.1200 shaft",575-01902-750
"1/4"" shaft w/ flat  and seal 5KHz, 7min acc, 0.95TR",575-01902-781
"1/4"" shaft w/ flat  and seal 5KHz, 7min acc, 0.95TR",575-01902-785
Resolver Size 11 tested(8.5> 575-01902 sorted @ AMCI,575-01902-8
Size11 Ctrl Transformer for  R11W-M10/7-1,575-01903-1
"Resolver Size 11, 3/16 Shaft Ameritek Brushless",575-01904
"Resolver Size 11, 3/16 Shaft Ameritek Brushless",575-01904-3
Resolver Size 11 4 Speed ,575-01905
"Resolver Size 11, <,= 7Min 2 Speed T.R.=.95 Freq.=5K",575-01909-700
"Resolver Size 11, T.R. = .50 FREQ.= 2500, ACCUR. = <7",575-01911-1
"Resolver Size 11, T.R. = .50 FREQ.= 2500, ACCUR. = <3",575-01911-10
,575-01911-11
"Ctrl. Xformer Size11; TR=0.5 FREQ.= 2500, ACCUR. = <3",575-01911-3
"Resolver Size 11, T.R. = .45 FREQ.= 1000, ACCUR. = <5,",575-01912-1
"Resolver Size 11, T.R. = .45 FREQ.= 1000, ACCUR. = <3,",575-01912-10
"Resolver Size 11, T.R. = .45 FREQ.= 1000, ACCUR. = <7,",575-01912-11
"Resolver Size 11,T.R.=.45 FREQ.=1000,ACCUR.= 3.5 to 5",575-01912-12
"Resolver Size 11, T.R. = .45 FREQ.= 1000, ACCUR. = <5,",575-01912-2
"SIZE 11 RESOLVER .45 TR @1000Hz, .120"" SHAFT",575-01912-703-01
"Resolver Size 11, T.R. = .98 FREQ.= 2500, ACCUR. = <7,",575-01913-1
"Resolver Size 11, T.R. = .50 FREQ.= 2500, ACCUR. = <5,",575-01914
"Resolver Size 11, T.R. = .50 FREQ.= 2500, ACCUR. = <5,",575-01914-1
"Resolver Size 11, T.R. = .45 FREQ.= 1000, ACCUR. = <6,",575-01916-1
"Resolver Size11 Transmitter TR=0.54, 4KHz, Acc<=7'",575-01918-750
"Resolver Size 11, T.R. = .95 FREQ.= 5k, 4 Speed",575-01919
"Resolver Size 11, T.R. = .45 400Hz, Acc. = <5, 1/4"" shaft",575-01920-760-101
"Resolver Size 11 , Transmit. 2.5KHz 0.5 TR, 0.1200"" shaft",575-01921-710
"3/16"" shaft w/seal 2.5KHz, 7min acc, 0.5TR",В575-01921-721
"Xmitter, Size11, 2.5KHz/0.5 0.1200"" shaft, 0.562"" long",575-01921-791
"Xmitter, 2.5KHz/0.5  +/-7min 0.1200"" shaft, 0.562"" long",575-01921-791-0122
"Resolver Size 11 ,  1.75 TR 400 Hz, control transformer",575-01922-1
"Resolver Size 11 ,  1.93 TR 400 Hz, control transformer",575-01923-500
"Size11 CTRL Xformer; TR=1.93 0.12"" shaft; 400 Hz; Uin=12V",575-01923-706-1
"Resolver Size11,  TR=1.0 1000 Hz, control transmitter",575-01924-300-002
"Resolver Size 11, T.R. = .95 FREQ.= 5k, ACCUR. = <5,",575-01925-710
Size 15 resolver xmitter 3/16 splined shaft 21 teeth,575-02902-740-1
Size15 Resolver Xmitter Splined shaft w/ thread,575-02924-740-7
"Size11, Xmitter, 0.12"" shaft TR=0.95; F=5KHz, <3min",575-15902-300
"Size11, 5KHz/0.95, 3min acc 1/4"" shaft, w/ flat+seal",575-15902-3A5-01
"Size11, Xmitter, 3/16"" shaft TR=0.95; F=5KHz, <7min",575-15902-721
"Resolver Size 11, T.R. = .95 FREQ.= 2.5k, ACCUR. = <7",575-15903-5
"Size11, TR= 0.45, f=1000Hz Transmitter, Nuclear Harden",575-15904
"Resolver Size 11, T.R. = .98 FREQ.= 2500, ACCUR. = <7,",575-15913-700
"For H25-FE TR=0.95,   5KHz",575-90000
H25FE WITH 10mm Shaft ,575-90000-2
"H25FE WITH 1/4"" Shaft ",575-90000-3
"For H25-FE TR=0.95,   5KHz",575-90000-4
H25F1E Resolver Assembly ,575-90001
"DC25FE, <,= 9 Min. body with stator only",575-91001-B
"DC25FS14 <=9 min. 3/8""shaft with 0.0938"" keyway",575-91004-0A
"DC25FS14, <,= 9 Min. 3/8"" shaft, flange tapped",575-91004-10
"DC25FS16, <,= 9 MIN. 10mm Shaft, flange",575-91007-2
"DC25FS16, <,= 9 Min. 3/8"" shaft, w/3 mm Keyway",575-91007-6
"DC25FS18, <,= 9 Min. 10mm Shaft, flange",575-91009-2
"DC25FS18, <,= 9 Min. 1/4"" Shaft, flange",575-91009-3
"DC25FS18, <,= 9 Min. 3/8"" shaft w/ old ver seal",575-91009-8
"DC25SS14, <,= 9 Min. 3/8"" shaft, servo",575-91011
"DC25SS16, <,= 9 Min. 3/8"" shaft, servo",575-91014
"DC25SS16,<, =9 Min 3/8"" shaft, w/3 mm keyway",575-91014-6
"DC25SS18, <, = 9 Min. 3/8"" shaft, servo",575-91016
"DC25SS18-3, <,= 9 Min. 1/4"" Shaft. servo",575-91016-3
"DC25SE, <,= 9 Min. 3/8"" shaft, servo",575-91018
"DC25SE, <,= 9 Min. 3/8"" shaft w/3 mm keyway",575-91018-6
"H25N-SE, 10mm shaft, 9 Min. Viton seal, TR=95, 5KHz",575-91019
"H25-FS(14) - Transmitter .45 TR/ 1000 Hz,side conn.14",575-91024
H25-FS(18) .45 TR/ 1000 Hz,575-91025
H25-FS(14) Ctrl. Xformer .50 TR/ 2500 Hz,575-91026
H25-FS(18) Ctrl. Xformer .50 TR/ 2500 Hz size18 conn,575-91027
DC25-FE .45 TR/ 1000 Hz,575-91028
H25-FS(18) <= 9 min. with old version shaft seal,575-91030
DC25-FE 1.40 TR/2250 Hz,575-91031
"H25-FS Transmitter TR=1.0 / 1000Hz, Side conn.",575-91032
"H25-FS Transmitter TR=0.45;1000Hz, Side conn.",575-91033
H25-F1E(16) Transmitter TR=0.95; f=5KHz; end conn.,575-91034
H25-F1S(16) Transmitter TR=0.95; F=5KHz; side conn.,575-91035
H25-M1E(16) Transmitter TR=0.95; f=5KHz; end conn.,575-91036
Resolver for H25-M1S(16) TR=0.95; f=5KHz; side conn.,575-91037
"H25 resolver flange mount, .95 TR @ 5000Hz side18 conn",575-91040
H25-SS(14) Ctrl Xformer TR=0.50 2500 Hz Size14 conn,575-91047
"H25 resolver servo mount, 0.95TR @ 5000HZ, side18 conn",575-91053
H25-FS(16) WITH AUX. NOSE TR=0.5; 5 KHz; 4.0Vms,575-91054-R6
"DC25FS, Multiturn Body 10mm shaft, flange",575-92000-2
"DC25FS, Multiturn Body 1/4"" shaft, flange",575-92000-3
"DC25FS, Multiturn Body 5/8"" shaft, flange",575-92000-5
"DC25SE, Multiturn Body 3/8"" shaft, servo",575-92001
"DC25FE, Multiturn Body 10mm shaft, flange",575-92002-2
"DC25FE, Multiturn Body 1/4"" shaft, end conn.",575-92002-3
"DC25FS, Singleturn Body 10mm shaft, flange, SSI Dura",575-92003-2
"DC25FS, Multiturn Body 5/8"" shaft, flange SSI Dura",575-92004-1
"DC25FE, Multiturn Body, 3/8"" shaft, MS-18 end conn",575-92005
"DC25FE, <,= 9 Min. 3/4"" shaft, flange, end conn",575-92006-2
"DC25FS14, <=9min 5/8"" shaft, flange",575-92007
"DC25FE, Multiturn 3/8"" shaft Uses old H2O seal and flange",575-92014
"DC25FS18, <= 9 Min. 5/8"" shaft 2 speed",575-92016
High Temp. Stator Assembly For 150 degC Resolvers,575-95006
High temp Transf. Assembly For 150 degC Resolvers,575-95007
Size25 Stator Assembly 4-speed,575-95008
Transformer Assembly 4-speed for HT-20C/H25/HTE25,575-95009
Resolver Stator Assembly 1-speed; nuclear hardened,575-95010
Transformer Assembly for HT25 with TR=0.5; 1speed,575-95011
"DC25 Housing, 2 Speed, End Conn, 10mm Shaft",DC25-2FE-2
"DC25 Housing 2 Speed Flange Mnt., Side Connector",DC25-2FS(16)
"DC25 Housing, 2 Speed Flange Mnt. Side Connect",DC25-2FS(18)
"DC25 Housing, 2 Speed Flange Mnt. Side Connect",DC25-2FS(18)-2
"DC-25 Housing, 2 Speed Side Conn., 10mm Shaft",DC25-2FS16-2
"DC25 Housing, 4 Sp., End Con 3/8"" Shaft",DC25-4FE
"DC25 Housing,4 Speed,Size 16 Conn, 10mm Shaft",DC25-4FS(16)-2
"DC25 Housing, 4 Sd., Side Conn. 3/8"" Shaft",DC25-4FS(18)-14
"DC25 Housing, 4 Sp., End Con 3/8"" Shaft, Servo Mount",DC25-4SE
"DC25 Housing, 4 Sp., side Co 3/8"" Shaft, Servo Mount",DC25-4SS(18)
"DC 25 Servo Mnt. Side Conn Size 14 With .25"" Shaft",DC25SS14-3
"Transducer 1 Turn Flange Mnt End Conn With 1/4"" Shaft",H25-FE-03
"H25 Flange mnt, End connect 5/8"" Shaft, Nitrile seal",H25-FE-05
"Size 25 resolver, 1/4"" shaft flange mount, side connector",H25-FS-03
"Size 25 Resolver, Flange Mt Side Connector, .45 TR,",H25-FS-R2G
"Size 25 Resolver, Flange Mt Side Connector, .45 TR,",H25-FS-R2N
,H25-FS-R2C
"H25 Resolver, Flange Mnt., 1.0 TR@1000Hz, side Conn.",H25-FS-R5B
"Transducer 1 Turn Servo Mnt 1/4"" shaft",H25-SE-03
"Size 25 resolver, 3/8 shaft W/ 3mm key",H25-SE-06
"Transducer 1 Turn Servo Mnt 10mm Shaft, TR=0.95, 5KHz",H25N-SE-10
"Size 25 resolver, 3/8 shaft, Flange mount, side connector",H25V-FS
Reference Module - C&A ,RM-1
Reference Module Autotech/Gemco compatable,RM-3
Reference Module - Reliance ,RM-4
,10
Absolute Rear Cover w/LED for new Absolute,211447000
Rear Cover R11 w/Cord Grip and 10-32 tap for Purge Port,211455000
"1/2"" Hub Rotor Singleturn New collar-style shaft",211424000
"Size11, Xmitter, 3/16"" shaft TR=0.50; F=10KHz, <7min Nuclear hardened; w/ seal",575-15900-721-01
DC25 Flange For H20 Seal used in 575-92014,22133200B
NR60 ENCODER 10MM MULTITURN SHAFT W/ FLAT,211404000
NR60 MULTITURN BODY 10MM SHAFT NITR. SEAL 58MM SERVO END CONN,575-60003
Multiturn Brass Standoff for stainless steel body.4-40 thread on bottom,21134801A
Transformer Assembly for HT-20C/H25/HTE/DC25/NR25,575-95002
Size25 Transformer Shell Part 1 with slot for wires Machined Powder metal, 575-95003
Size25 Transformer Shell Part 2 Machined Powder metal,575-95004
H25-FE-R3HC-11 Rotor Assembly Ref # 211323000 flat on shaft For 150 degC Resolver,575-95005
,21134202D
NR60 Encoder Rear Cover- End. Conn.,21139000A
"NR60 Encoder 3/8"" Multiturn shaft w/ flat",21141100А
Rear covers for DC60 Analog Encoder,22146701A
"DC25&H25 3/8"" shaft muktiturn w/ 3mm key",211415000
"H25-F1E 3/8"" shaft with keyway",211442000
"NR25T, Multiturn Body TURCK 10mm shaft w/ flat;end con. servo nose; w/o rear cover",575-94001-2
,211112060
H25 BODY,H25 BODY
"DC25&H25 3/8"" shaft with flat",211373000
HT-400-M1C Shaft,21131800A
"DC25 Multiturn 5/8"" rotor",211347000
,211347010
NR60 Encoder 6mm Multiturn shaft w/ flat,211405000
Rotor with magnet coupler for NR25 Dual output Enc.,211417000
HTE-25 DUAL ENCODER SHAFT,211540000
Square Flange for NR60,22145500C
"5/8"" Shaft flange 316",22139701А
NR60 Encoder Servo Nose 58mm,221452000
DC25F-D1V2LS-16 Flange nose,221422000
"Size11,2.5KHz/0.5,7 min 0.120"" shaft w/seal,machined body",575-01921-7LD-23
,575-15906-7GA-01
,575-15906-7GB-01
For R11X-J16/3N-7 res.,575-15902-3A5-01
OPTISYS S11,575-01902-7L9-0022
,575-01902-7А3
R11 with M12 conn rear cover,211414000
size 11 side cable option rear cover,211357000
R11X-C10/7-H,575-01912-7K0
R11X-N,575-01920-7F9
Rear cover for R11 resolver,211460000
 Resolver for GR11X-H,575-15900-70C
R11X-J121B-7NA6-0008,575-01926-701
,575-15906-5GA-01
,575-15906-3GA-01
NR60 Encoder brass standoff,211398000
,211294010
,211294020
,211294030
,211294040
,21129405А
,21137800А
,575-01924-701
,21129600C
Special H25 BODY for HT400,22140700A
"Size11, 5KHz/0.95, 5min acc modified shaft, w/ seal Nuclear, 1.88"" body length",575-15902-5KC
,221502000
,221451000
,211398000A
,21134800A
,221459000
,211448000
,21131600C
,221467000
NR25 DUAL PORT MULTITURN COVER,211482000
NR25 Ethernet for TURCK,211394000
,21100201K
"HT-20 TRANSDUCER BEARING/SHAFT 5/8""",21100202N
,21141100A
DC-25 Rear Cover Switch & LED for Absolute (-10 option),211446000
H25-M1E Transmitter TR=0.5; f=5KHz; end conn.,H25-M1E-R6
